text,label
"Artificial intelligence (AI) is intelligence demonstrated by machines, as opposed to natural intelligence displayed by humans. AI research has been defined as the field of study of intelligent agents which perceive their environment and take actions to maximize chance of achieving goals. Applications include web search engines, recommendation systems, understanding human speech, self-driving cars, and generative tools. AI was founded as an academic discipline in 1956. Machine learning and deep learning are subfields that have driven recent progress. AI systems are now used in healthcare, finance, education, and defense. The Turing Test proposed by Alan Turing in 1950 remains a benchmark for machine intelligence. Modern AI includes symbolic AI, connectionist AI, and hybrid approaches.",Artificial Intelligence
"Machine learning is a field of artificial intelligence concerned with statistical algorithms that learn from data and generalize to unseen inputs. It enables computers to perform tasks without explicit programming. Approaches include supervised learning, unsupervised learning, and reinforcement learning. Applications span natural language processing, computer vision, speech recognition, email filtering, and medicine. The mathematical foundation lies in optimization methods. Training involves minimizing a loss function over a dataset. Models include linear regression, decision trees, support vector machines, and neural networks. Overfitting and underfitting are key challenges. Cross-validation is used to assess generalization performance.",Artificial Intelligence
"Deep learning is a subset of machine learning based on artificial neural networks with multiple representation layers. The word deep refers to multiple hidden layers in the network. Architectures include convolutional neural networks, recurrent neural networks, transformers, and autoencoders. Deep learning has achieved state-of-the-art results in image recognition, speech synthesis, machine translation, and protein structure prediction. Training requires large datasets and significant compute power. GPUs accelerated deep learning research dramatically. Backpropagation and gradient descent are the core training algorithms. Dropout and batch normalization are regularization techniques. Transfer learning allows pretrained models to be fine-tuned on new tasks.",Artificial Intelligence
"A neural network is a computational model inspired by the structure of biological brains. It consists of layers of interconnected nodes called neurons. Each neuron applies an activation function to a weighted sum of its inputs. Common activation functions include ReLU, sigmoid, and tanh. Networks are trained using backpropagation and stochastic gradient descent. Convolutional neural networks excel at image tasks. Recurrent neural networks handle sequential data. Attention mechanisms and transformers revolutionized NLP. Neural networks can approximate any continuous function given sufficient capacity. Hyperparameter tuning includes learning rate, batch size, and number of layers.",Artificial Intelligence
"Natural language processing is a branch of AI that enables computers to understand, interpret, and generate human language. Core tasks include tokenization, part-of-speech tagging, named entity recognition, sentiment analysis, machine translation, and summarization. Early NLP used rule-based systems. Statistical models followed, then neural approaches dominated. Word embeddings like Word2Vec and GloVe represent words as dense vectors. Transformer models like BERT and GPT revolutionized NLP by learning context bidirectionally. Attention mechanisms allow models to focus on relevant tokens. Large language models are trained on massive text corpora. NLP powers chatbots, search engines, and voice assistants.",Artificial Intelligence
"Computer vision is the field enabling machines to interpret and understand visual information from images and videos. Tasks include image classification, object detection, semantic segmentation, and facial recognition. Convolutional neural networks became dominant after AlexNet won ImageNet in 2012. Models like ResNet, VGG, and EfficientNet improved accuracy and efficiency. Object detection systems like YOLO and Faster RCNN enable real-time detection. Image segmentation assigns a class to every pixel. Generative models like GANs can synthesize realistic images. Computer vision is applied in autonomous driving, medical imaging, surveillance, and augmented reality.",Artificial Intelligence
"Reinforcement learning is a machine learning paradigm where an agent learns by interacting with an environment to maximize cumulative reward. The agent observes state, takes action, receives reward, and transitions to a new state. Key algorithms include Q-learning, SARSA, and policy gradient methods. Deep Q-Networks combined deep learning with Q-learning. AlphaGo used reinforcement learning to defeat world champions at Go. Proximal Policy Optimization is widely used for stability. Exploration vs exploitation is a fundamental tradeoff. Applications include game playing, robotics, recommendation systems, and drug discovery. Reward shaping and curriculum learning improve training efficiency.",Artificial Intelligence
"Robotics is the interdisciplinary field combining engineering, computer science, and AI to design and build robots. Robots are machines capable of carrying out complex actions automatically. Industrial robots perform welding, assembly, and painting in manufacturing. Mobile robots navigate environments autonomously. Humanoid robots mimic human motion and interaction. Robot perception uses sensors like cameras, lidar, and ultrasound. Planning algorithms compute optimal paths and actions. Control systems maintain stability and precision. Collaborative robots work safely alongside humans. Swarm robotics uses many simple agents to accomplish tasks collectively. AI advances are enabling more adaptive and intelligent robotic systems.",Artificial Intelligence
"An autonomous vehicle is a vehicle capable of sensing its environment and moving safely without human input. Self-driving cars use cameras, radar, lidar, and GPS for perception. Levels of autonomy range from driver assistance to full automation. Deep learning processes sensor data to detect objects and predict trajectories. Path planning algorithms compute safe routes. Decision making handles complex traffic scenarios. Companies like Waymo, Tesla, and Cruise have deployed autonomous vehicles in limited areas. Safety validation and regulatory approval are major challenges. Sensor fusion combines data from multiple sources for robustness. Public trust and legal liability remain important societal questions.",Artificial Intelligence
"A chatbot is a software application that simulates human conversation through text or voice interaction. Rule-based chatbots follow predefined scripts. AI chatbots use natural language processing to understand and generate responses. Retrieval-based models select responses from a fixed set. Generative models produce new responses word by word. Large language models like GPT-4 power advanced conversational agents. Chatbots are used in customer service, healthcare, education, and e-commerce. Intent recognition identifies what the user wants. Entity extraction pulls key information from messages. Conversation state tracking maintains context across multiple turns.",Artificial Intelligence
"A large language model is a type of AI model trained on massive text datasets to understand and generate natural language. LLMs use transformer architecture with billions of parameters. Training involves predicting the next token in a sequence. Models like GPT-4, Claude, Gemini, and LLaMA are leading examples. Instruction tuning and reinforcement learning from human feedback align models with user intent. LLMs demonstrate emergent capabilities like reasoning and code generation. Prompt engineering shapes model behavior without retraining. Hallucination is a key limitation where models generate false information. Context window determines how much text the model can process at once.",Artificial Intelligence
AlphaGo is an AI program developed by DeepMind that plays the board game Go. It was the first program to defeat a professional human player without handicap. AlphaGo combines deep neural networks with Monte Carlo tree search. It uses policy networks to select moves and value networks to evaluate board positions. AlphaGo Zero improved further by learning entirely from self-play without human data. AlphaZero generalized the approach to chess and shogi. The victory over Lee Sedol in 2016 was a landmark moment in AI history. The system demonstrated that AI could master complex intuitive domains previously thought to require human creativity.,Artificial Intelligence
"Generative AI refers to artificial intelligence systems capable of generating new content including text, images, audio, and video. Generative adversarial networks use a generator and discriminator trained against each other. Variational autoencoders learn latent representations for generation. Diffusion models denoise random noise into coherent outputs. Large language models generate text by predicting tokens. Applications include image synthesis, music composition, code generation, and drug design. Tools like DALL-E, Stable Diffusion, and MidJourney generate images from text prompts. Ethical concerns include deepfakes, copyright, and misinformation. Generative AI is transforming creative industries and scientific research.",Artificial Intelligence
"An expert system is a computer program that emulates the decision-making ability of a human expert using a knowledge base and inference engine. The knowledge base stores domain-specific facts and rules in if-then format. The inference engine applies rules to facts to draw conclusions. Forward chaining starts from known facts and applies rules to reach a goal. Backward chaining starts from a goal and works backward to find supporting facts. Expert systems were among the first successful AI applications in medicine, finance, and engineering. MYCIN was an early expert system for diagnosing bacterial infections. Limitations include difficulty updating knowledge and lack of common sense reasoning.",Artificial Intelligence
"Computer vision object detection identifies and localizes objects within images. Sliding window approaches scan images at multiple scales. Region proposal networks generate candidate object locations. YOLO performs detection in a single forward pass for real-time speed. Feature pyramid networks detect objects at multiple scales simultaneously. Non-maximum suppression removes duplicate detections. Anchor boxes define prior shapes for bounding box prediction. Intersection over union measures detection quality. COCO and Pascal VOC are standard benchmarks. Applications include autonomous driving, surveillance, retail analytics, and medical imaging. Recent transformer-based detectors like DETR eliminate hand-designed components.",Artificial Intelligence
Space exploration is the investigation of outer space through astronomy and space technology. Physical exploration of space is conducted through robotic spacecraft and human spaceflight. Space exploration began in the 20th century with the Space Race between the United States and Soviet Union. Sputnik became the first artificial satellite in 1957. Yuri Gagarin became the first human in space in 1961. The Apollo program landed humans on the Moon in 1969. Robotic missions have explored all planets of the solar system. The International Space Station has hosted continuous human presence since 2000. Private companies like SpaceX and Blue Origin are reshaping the industry.,Space Exploration
The Moon landing refers to the arrival of spacecraft on the surface of the Moon. Apollo 11 achieved the first crewed lunar landing on July 20 1969. Neil Armstrong became the first human to walk on the Moon followed by Buzz Aldrin. Six Apollo missions successfully landed astronauts on the Moon between 1969 and 1972. Samples of lunar rock and soil were returned to Earth for scientific study. The Saturn V rocket was the most powerful launch vehicle ever built. The lunar module separated from the command module in orbit and descended to the surface. The mission fulfilled President Kennedy's goal of landing on the Moon before the end of the 1960s.,Space Exploration
"Mars rovers are robotic vehicles that explore the surface of Mars. The first successful Mars rover was Sojourner which landed in 1997 as part of the Mars Pathfinder mission. Spirit and Opportunity landed in 2004 and greatly exceeded their planned 90-day missions. Curiosity landed in 2012 and is still operational, studying the geology and habitability of Mars. Perseverance landed in 2021 and is searching for signs of ancient microbial life. Perseverance also carried Ingenuity, the first aircraft to fly on another planet. Rovers use solar panels or radioisotope thermoelectric generators for power. They are controlled remotely with significant signal delay from Earth.",Space Exploration
"The International Space Station is a modular space station in low Earth orbit operated by NASA, Roscosmos, ESA, JAXA, and CSA. It has been continuously inhabited since November 2000. The station orbits at approximately 400 kilometers altitude and completes 15 orbits per day. It serves as a microgravity laboratory for scientific research in biology, physics, astronomy, and meteorology. The ISS was assembled in orbit over more than a decade. Crew members arrive and depart via Soyuz spacecraft and more recently SpaceX Crew Dragon. The station spans the size of a football field. Spacewalks are conducted for maintenance and construction. Plans for commercial successors are under development.",Space Exploration
"NASA is the United States government agency responsible for civilian space program and aeronautics research. It was established in 1958 in response to the Soviet Sputnik launch. NASA led the Mercury, Gemini, and Apollo programs that took humans to the Moon. The Space Shuttle program operated from 1981 to 2011 flying 135 missions. NASA operates numerous scientific missions including the Hubble Space Telescope, Mars rovers, and Voyager probes. The Artemis program aims to return humans to the Moon. The agency collaborates internationally with ESA, JAXA, and other partners. NASA develops cutting-edge aerospace technology and shares research publicly.",Space Exploration
SpaceX is an American aerospace company founded by Elon Musk in 2002 with the goal of reducing space transportation costs and enabling colonization of Mars. It developed the Falcon 9 rocket with reusable first stages that land vertically after launch. Falcon Heavy is the most powerful operational rocket. Dragon spacecraft ferries cargo and crew to the ISS. Starlink is a constellation of thousands of satellites providing broadband internet. Starship is a fully reusable launch system under development for Mars missions. SpaceX has revolutionized the launch industry with dramatically reduced costs. The company has completed hundreds of successful orbital launches.,Space Exploration
"The Hubble Space Telescope is a large space-based observatory launched in 1990 by NASA and ESA. It orbits Earth at about 540 kilometers altitude above the distorting effects of the atmosphere. Hubble observes in ultraviolet, visible, and near-infrared light. An initial mirror flaw was corrected by astronauts in 1993 during a servicing mission. Hubble has produced over one million observations and contributed to discoveries about the expansion rate of the universe, black holes, and the age of the cosmos. Famous images include the Pillars of Creation and the Hubble Deep Field. It has operated far beyond its original 15-year design life.",Space Exploration
"The James Webb Space Telescope is a large infrared telescope launched in December 2021 as a successor to Hubble. It orbits at the second Lagrange point 1.5 million kilometers from Earth. Webb's primary mirror is 6.5 meters in diameter composed of 18 gold-coated hexagonal segments. It observes the universe in infrared wavelengths allowing it to see through dust clouds and observe distant early galaxies. Webb has captured the deepest and sharpest infrared images of the distant universe. It is studying exoplanet atmospheres, star formation, and the first galaxies after the Big Bang. Webb is a collaboration between NASA, ESA, and CSA.",Space Exploration
