text,label
artificial intelligence ai is intelligence demonstrated by machines as opposed to natural intelligence displayed by humans ai research has been defined as the field of study of intelligent agents which perceive their environment and take actions to maximize chance of achieving goals applications include web search engines recommendation systems understanding human speech selfdriving cars and generative tools ai was founded as an academic discipline in 1956 machine learning and deep learning are subfields that have driven recent progress ai systems are now used in healthcare finance education and defense the turing test proposed by alan turing in 1950 remains a benchmark for machine intelligence modern ai includes symbolic ai connectionist ai and hybrid approaches,Artificial Intelligence
machine learning is a field of artificial intelligence concerned with statistical algorithms that learn from data and generalize to unseen inputs it enables computers to perform tasks without explicit programming approaches include supervised learning unsupervised learning and reinforcement learning applications span natural language processing computer vision speech recognition email filtering and medicine the mathematical foundation lies in optimization methods training involves minimizing a loss function over a dataset models include linear regression decision trees support vector machines and neural networks overfitting and underfitting are key challenges crossvalidation is used to assess generalization performance,Artificial Intelligence
deep learning is a subset of machine learning based on artificial neural networks with multiple representation layers the word deep refers to multiple hidden layers in the network architectures include convolutional neural networks recurrent neural networks transformers and autoencoders deep learning has achieved stateoftheart results in image recognition speech synthesis machine translation and protein structure prediction training requires large datasets and significant compute power gpus accelerated deep learning research dramatically backpropagation and gradient descent are the core training algorithms dropout and batch normalization are regularization techniques transfer learning allows pretrained models to be finetuned on new tasks,Artificial Intelligence
a neural network is a computational model inspired by the structure of biological brains it consists of layers of interconnected nodes called neurons each neuron applies an activation function to a weighted sum of its inputs common activation functions include relu sigmoid and tanh networks are trained using backpropagation and stochastic gradient descent convolutional neural networks excel at image tasks recurrent neural networks handle sequential data attention mechanisms and transformers revolutionized nlp neural networks can approximate any continuous function given sufficient capacity hyperparameter tuning includes learning rate batch size and number of layers,Artificial Intelligence
natural language processing is a branch of ai that enables computers to understand interpret and generate human language core tasks include tokenization partofspeech tagging named entity recognition sentiment analysis machine translation and summarization early nlp used rulebased systems statistical models followed then neural approaches dominated word embeddings like word2vec and glove represent words as dense vectors transformer models like bert and gpt revolutionized nlp by learning context bidirectionally attention mechanisms allow models to focus on relevant tokens large language models are trained on massive text corpora nlp powers chatbots search engines and voice assistants,Artificial Intelligence
computer vision is the field enabling machines to interpret and understand visual information from images and videos tasks include image classification object detection semantic segmentation and facial recognition convolutional neural networks became dominant after alexnet won imagenet in 2012 models like resnet vgg and efficientnet improved accuracy and efficiency object detection systems like yolo and faster rcnn enable realtime detection image segmentation assigns a class to every pixel generative models like gans can synthesize realistic images computer vision is applied in autonomous driving medical imaging surveillance and augmented reality,Artificial Intelligence
reinforcement learning is a machine learning paradigm where an agent learns by interacting with an environment to maximize cumulative reward the agent observes state takes action receives reward and transitions to a new state key algorithms include qlearning sarsa and policy gradient methods deep qnetworks combined deep learning with qlearning alphago used reinforcement learning to defeat world champions at go proximal policy optimization is widely used for stability exploration vs exploitation is a fundamental tradeoff applications include game playing robotics recommendation systems and drug discovery reward shaping and curriculum learning improve training efficiency,Artificial Intelligence
robotics is the interdisciplinary field combining engineering computer science and ai to design and build robots robots are machines capable of carrying out complex actions automatically industrial robots perform welding assembly and painting in manufacturing mobile robots navigate environments autonomously humanoid robots mimic human motion and interaction robot perception uses sensors like cameras lidar and ultrasound planning algorithms compute optimal paths and actions control systems maintain stability and precision collaborative robots work safely alongside humans swarm robotics uses many simple agents to accomplish tasks collectively ai advances are enabling more adaptive and intelligent robotic systems,Artificial Intelligence
an autonomous vehicle is a vehicle capable of sensing its environment and moving safely without human input selfdriving cars use cameras radar lidar and gps for perception levels of autonomy range from driver assistance to full automation deep learning processes sensor data to detect objects and predict trajectories path planning algorithms compute safe routes decision making handles complex traffic scenarios companies like waymo tesla and cruise have deployed autonomous vehicles in limited areas safety validation and regulatory approval are major challenges sensor fusion combines data from multiple sources for robustness public trust and legal liability remain important societal questions,Artificial Intelligence
a chatbot is a software application that simulates human conversation through text or voice interaction rulebased chatbots follow predefined scripts ai chatbots use natural language processing to understand and generate responses retrievalbased models select responses from a fixed set generative models produce new responses word by word large language models like gpt4 power advanced conversational agents chatbots are used in customer service healthcare education and ecommerce intent recognition identifies what the user wants entity extraction pulls key information from messages conversation state tracking maintains context across multiple turns,Artificial Intelligence
a large language model is a type of ai model trained on massive text datasets to understand and generate natural language llms use transformer architecture with billions of parameters training involves predicting the next token in a sequence models like gpt4 claude gemini and llama are leading examples instruction tuning and reinforcement learning from human feedback align models with user intent llms demonstrate emergent capabilities like reasoning and code generation prompt engineering shapes model behavior without retraining hallucination is a key limitation where models generate false information context window determines how much text the model can process at once,Artificial Intelligence
alphago is an ai program developed by deepmind that plays the board game go it was the first program to defeat a professional human player without handicap alphago combines deep neural networks with monte carlo tree search it uses policy networks to select moves and value networks to evaluate board positions alphago zero improved further by learning entirely from selfplay without human data alphazero generalized the approach to chess and shogi the victory over lee sedol in 2016 was a landmark moment in ai history the system demonstrated that ai could master complex intuitive domains previously thought to require human creativity,Artificial Intelligence
generative ai refers to artificial intelligence systems capable of generating new content including text images audio and video generative adversarial networks use a generator and discriminator trained against each other variational autoencoders learn latent representations for generation diffusion models denoise random noise into coherent outputs large language models generate text by predicting tokens applications include image synthesis music composition code generation and drug design tools like dalle stable diffusion and midjourney generate images from text prompts ethical concerns include deepfakes copyright and misinformation generative ai is transforming creative industries and scientific research,Artificial Intelligence
an expert system is a computer program that emulates the decisionmaking ability of a human expert using a knowledge base and inference engine the knowledge base stores domainspecific facts and rules in ifthen format the inference engine applies rules to facts to draw conclusions forward chaining starts from known facts and applies rules to reach a goal backward chaining starts from a goal and works backward to find supporting facts expert systems were among the first successful ai applications in medicine finance and engineering mycin was an early expert system for diagnosing bacterial infections limitations include difficulty updating knowledge and lack of common sense reasoning,Artificial Intelligence
computer vision object detection identifies and localizes objects within images sliding window approaches scan images at multiple scales region proposal networks generate candidate object locations yolo performs detection in a single forward pass for realtime speed feature pyramid networks detect objects at multiple scales simultaneously nonmaximum suppression removes duplicate detections anchor boxes define prior shapes for bounding box prediction intersection over union measures detection quality coco and pascal voc are standard benchmarks applications include autonomous driving surveillance retail analytics and medical imaging recent transformerbased detectors like detr eliminate handdesigned components,Artificial Intelligence
space exploration is the investigation of outer space through astronomy and space technology physical exploration of space is conducted through robotic spacecraft and human spaceflight space exploration began in the 20th century with the space race between the united states and soviet union sputnik became the first artificial satellite in 1957 yuri gagarin became the first human in space in 1961 the apollo program landed humans on the moon in 1969 robotic missions have explored all planets of the solar system the international space station has hosted continuous human presence since 2000 private companies like spacex and blue origin are reshaping the industry,Space Exploration
the moon landing refers to the arrival of spacecraft on the surface of the moon apollo 11 achieved the first crewed lunar landing on july 20 1969 neil armstrong became the first human to walk on the moon followed by buzz aldrin six apollo missions successfully landed astronauts on the moon between 1969 and 1972 samples of lunar rock and soil were returned to earth for scientific study the saturn v rocket was the most powerful launch vehicle ever built the lunar module separated from the command module in orbit and descended to the surface the mission fulfilled president kennedys goal of landing on the moon before the end of the 1960s,Space Exploration
mars rovers are robotic vehicles that explore the surface of mars the first successful mars rover was sojourner which landed in 1997 as part of the mars pathfinder mission spirit and opportunity landed in 2004 and greatly exceeded their planned 90day missions curiosity landed in 2012 and is still operational studying the geology and habitability of mars perseverance landed in 2021 and is searching for signs of ancient microbial life perseverance also carried ingenuity the first aircraft to fly on another planet rovers use solar panels or radioisotope thermoelectric generators for power they are controlled remotely with significant signal delay from earth,Space Exploration
the international space station is a modular space station in low earth orbit operated by nasa roscosmos esa jaxa and csa it has been continuously inhabited since november 2000 the station orbits at approximately 400 kilometers altitude and completes 15 orbits per day it serves as a microgravity laboratory for scientific research in biology physics astronomy and meteorology the iss was assembled in orbit over more than a decade crew members arrive and depart via soyuz spacecraft and more recently spacex crew dragon the station spans the size of a football field spacewalks are conducted for maintenance and construction plans for commercial successors are under development,Space Exploration
nasa is the united states government agency responsible for civilian space program and aeronautics research it was established in 1958 in response to the soviet sputnik launch nasa led the mercury gemini and apollo programs that took humans to the moon the space shuttle program operated from 1981 to 2011 flying 135 missions nasa operates numerous scientific missions including the hubble space telescope mars rovers and voyager probes the artemis program aims to return humans to the moon the agency collaborates internationally with esa jaxa and other partners nasa develops cuttingedge aerospace technology and shares research publicly,Space Exploration
spacex is an american aerospace company founded by elon musk in 2002 with the goal of reducing space transportation costs and enabling colonization of mars it developed the falcon 9 rocket with reusable first stages that land vertically after launch falcon heavy is the most powerful operational rocket dragon spacecraft ferries cargo and crew to the iss starlink is a constellation of thousands of satellites providing broadband internet starship is a fully reusable launch system under development for mars missions spacex has revolutionized the launch industry with dramatically reduced costs the company has completed hundreds of successful orbital launches,Space Exploration
the hubble space telescope is a large spacebased observatory launched in 1990 by nasa and esa it orbits earth at about 540 kilometers altitude above the distorting effects of the atmosphere hubble observes in ultraviolet visible and nearinfrared light an initial mirror flaw was corrected by astronauts in 1993 during a servicing mission hubble has produced over one million observations and contributed to discoveries about the expansion rate of the universe black holes and the age of the cosmos famous images include the pillars of creation and the hubble deep field it has operated far beyond its original 15year design life,Space Exploration
the james webb space telescope is a large infrared telescope launched in december 2021 as a successor to hubble it orbits at the second lagrange point 15 million kilometers from earth webbs primary mirror is 65 meters in diameter composed of 18 goldcoated hexagonal segments it observes the universe in infrared wavelengths allowing it to see through dust clouds and observe distant early galaxies webb has captured the deepest and sharpest infrared images of the distant universe it is studying exoplanet atmospheres star formation and the first galaxies after the big bang webb is a collaboration between nasa esa and csa,Space Exploration
the voyager program consists of two spacecraft voyager 1 and voyager 2 launched in 1977 to study the outer planets voyager 1 flew by jupiter and saturn before heading toward interstellar space voyager 2 is the only spacecraft to have visited uranus and neptune both spacecraft have now left the heliosphere and entered interstellar space making them the most distant humanmade objects they carry a golden record with sounds and images representing life on earth voyager 1 is over 23 billion kilometers from earth the spacecraft still communicate with nasa using nuclear power from radioisotope thermoelectric generators,Space Exploration
the apollo program was nasas human spaceflight program that successfully landed astronauts on the moon between 1969 and 1972 it included 17 missions of which six landed on the lunar surface apollo 1 ended in tragedy when a cabin fire killed three astronauts during a launch rehearsal apollo 8 was the first crewed spacecraft to orbit the moon apollo 13 suffered an oxygen tank explosion but the crew safely returned to earth astronauts collected 382 kilograms of lunar samples the program employed over 400000 people and required enormous technological innovation the legacy of apollo shaped american space policy and inspired generations of scientists,Space Exploration
a satellite is an object intentionally placed into orbit around a celestial body artificial satellites serve purposes including communication navigation earth observation and scientific research gps satellites enable global positioning with meter accuracy weather satellites monitor cloud cover temperature and storm systems communication satellites relay telephone television and internet signals remote sensing satellites map land use deforestation and ice cover the first artificial satellite sputnik was launched in 1957 low earth orbit satellites orbit below 2000 kilometers geostationary satellites orbit at 35786 kilometers and appear fixed above one point on earth,Space Exploration
